Yard Line,4th & 1: GFI,4th & 1: P,4th & 1: FG,4th & 2: GFI,4th & 2: P,4th & 2: FG,4th & 3: GFI,4th & 3: P,4th & 3: FG,4th & 4: GFI,4th & 4: P,4th & 4: FG,4th & 5: GFI,4th & 5: P,4th & 5: FG,4th & 6: GFI,4th & 6: P,4th & 6: FG,4th & 7: GFI,4th & 7: P,4th & 7: FG,4th & 8: GFI,4th & 8: P,4th & 8: FG,4th & 9: GFI,4th & 9: P,4th & 9: FG,4th & 10: GFI,4th & 10: P,4th & 10: FG,4th & 11: GFI,4th & 11: FG,4th & 11: P,4th & 12: GFI,4th & 12: P,4th & 12: FG,4th & 13: GFI,4th & 13: P,4th & 13: FG,4th & 14: GFI,4th & 14: P,4th & 14: FG,4th & 15: GFI,4th & 15: P,4th & 15: FG
64,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
65,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
66,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
67,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
68,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
69,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
70,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
71,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
72,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
73,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
74,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
75,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
76,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
77,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
78,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
79,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
80,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
81,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
82,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
83,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
84,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
85,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
86,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
87,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
88,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
89,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
90,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
91,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
92,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
93,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
94,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
95,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
96,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
97,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
98,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
99,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
